City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,kampene,-3.6,26.6667,20.89,98,100,0.79,CD,1707517429
185,ape,57.5393,26.6929,-12.94,88,87,2.27,LV,1707517429
186,namsos,64.4662,11.4957,-3.97,67,7,3.6,NO,1707517430
187,port macquarie,-31.4333,152.9167,24.38,80,8,3.51,AU,1707517430
188,puerto baquerizo moreno,-0.9,-89.6,27.55,83,75,4.12,EC,1707516740
189,nguigmi,14.2495,13.1092,21.23,17,3,4.34,NE,1707516989
190,codrington,-38.2667,141.9667,16.03,65,35,6.2,AU,1707516959
191,barrouallie,13.2333,-61.2667,24.79,83,40,5.14,VC,1707517430
192,'ain benian,36.8028,2.9219,15.03,77,100,5.88,DZ,1707517430
193,usoke,-5.1667,32.35,19.31,91,90,0.22,TZ,1707517431
194,preobrazheniye,42.9019,133.9064,-5.95,74,100,1.95,RU,1707516742
195,lhasa,29.65,91.1,-9.51,38,0,1.84,CN,1707517431
196,sechura,-5.5569,-80.8222,28.75,68,46,6.51,PE,1707517431
197,dudinka,69.4058,86.1778,-23.51,87,97,2.68,RU,1707516903
198,axim,4.8699,-2.2405,26.9,83,2,3.25,GH,1707517431
199,treinta y tres,-33.2333,-54.3833,30.32,53,81,9.45,UY,1707517432
200,key west,24.5557,-81.7826,22.22,73,100,5.14,US,1707517432
201,port alfred,-33.5906,26.891,17.32,92,53,1.34,ZA,1707516897
202,peniche,39.3558,-9.3811,14.2,86,36,11.32,PT,1707517432
203,khanty-mansiysk,61.0042,69.0019,-11.94,85,40,1.0,RU,1707517432
204,hadibu,12.65,54.0333,25.01,70,96,5.9,YE,1707517432
205,lompoc,34.6391,-120.4579,17.05,58,40,5.66,US,1707516897
206,smithers,54.7804,-127.1743,-5.82,73,100,1.03,CA,1707516935
207,al jawf,29.5,38.75,13.25,38,29,4.06,SA,1707517434
208,piti village,13.4626,144.6933,27.49,76,20,6.17,GU,1707517434
209,polyarnyy,69.1989,33.4478,-14.76,90,100,2.73,RU,1707516913
210,brandenburg an der havel,52.4167,12.55,8.84,97,100,2.23,DE,1707517434
211,fort bragg,35.139,-79.006,16.75,68,75,3.6,US,1707516909
212,kavieng,-2.5744,150.7967,27.79,79,100,4.16,PG,1707516930
213,yuzhno-kurilsk,44.0306,145.8556,-7.57,82,100,1.31,RU,1707516915
214,funafuti,-8.5243,179.1942,30.0,79,75,3.09,TV,1707517435
215,weno,7.4515,151.8468,27.97,74,100,4.12,FM,1707516933
216,thompson,55.7435,-97.8558,-14.91,78,100,4.63,CA,1707516906
217,tabas,33.5959,56.9244,8.12,27,66,1.03,IR,1707517436
218,westport,41.1415,-73.3579,10.17,67,40,4.12,US,1707517436
219,damasak,13.0977,12.4952,20.96,13,5,2.94,NG,1707517436
220,tehran,35.6944,51.4215,7.99,36,0,3.09,IR,1707517190
221,tyukhtet,56.5389,89.3011,0.38,98,100,4.52,RU,1707517436
222,bizhbulyak,53.6967,54.2642,-15.53,94,100,5.22,RU,1707517436
223,kiunga,-6.1219,141.2906,24.01,97,100,0.06,PG,1707517239
224,lusambo,-4.9667,23.45,22.63,97,100,0.67,CD,1707517437
225,kaspiyskiy,45.3929,47.3707,8.34,73,100,9.72,RU,1707517437
226,mahmutlar,36.949,36.1923,11.72,79,75,1.29,TR,1707517437
227,guerrero negro,27.9769,-114.0611,16.03,53,83,8.37,MX,1707516928
228,hailar,49.2,119.7,-25.73,100,99,2.26,CN,1707517437
229,sretensk,52.2453,117.7093,-25.33,100,84,0.76,RU,1707517437
230,yarkovo,57.4028,67.0786,-14.01,92,100,4.67,RU,1707517438
231,bargaal,11.2864,51.0773,24.9,77,77,3.62,SO,1707517438
232,barranca,-10.75,-77.7667,24.44,86,7,4.14,PE,1707517438
233,pemagatshel,27.038,91.4031,7.28,54,0,3.19,BT,1707517438
234,sheridan,44.8333,-106.9173,3.34,63,75,5.66,US,1707517438
235,colonia,50.9333,6.95,12.55,84,20,4.12,DE,1707516846
236,suva,-18.1416,178.4415,30.71,70,100,1.03,FJ,1707517438
237,ambo,-10.1308,-76.2047,21.65,70,88,4.0,PE,1707517439
238,iquique,-20.2208,-70.1431,26.02,74,10,5.62,CL,1707516966
239,katsuren-haebaru,26.3369,127.8719,16.01,65,75,3.6,JP,1707517439
240,yarmouth,41.7057,-70.2286,5.19,84,0,3.13,US,1707517439
241,ketchikan,55.3422,-131.6461,4.99,93,100,6.17,US,1707517253
242,wafangdian,39.6183,122.0081,-5.0,61,0,2.34,CN,1707517439
243,klamath falls,42.2249,-121.7817,2.43,79,100,2.24,US,1707517439
244,mar del plata,-38.0023,-57.5575,22.27,93,100,2.06,AR,1707517210
245,rocha,-34.4833,-54.3333,25.41,72,68,7.93,UY,1707517166
246,valley city,46.9233,-98.0032,-1.71,100,100,7.72,US,1707517440
247,nova sintra,14.8667,-24.7167,20.85,75,0,11.14,CV,1707516948
248,pingliang,35.5392,106.6861,-0.69,42,11,1.67,CN,1707517440
249,kodiak,57.79,-152.4072,3.73,93,100,5.14,US,1707516901
250,remire-montjoly,4.9167,-52.2667,28.02,78,0,3.6,GF,1707517239
251,la ronge,55.1001,-105.2842,-4.86,80,100,3.09,CA,1707516970
252,sosnovo-ozerskoye,52.5249,111.5418,-19.99,100,100,2.48,RU,1707517275
253,ancud,-41.8697,-73.8203,18.44,63,20,1.71,CL,1707516951
254,naze,28.3667,129.4833,12.51,57,98,5.12,JP,1707517318
255,la passe,45.5549,-0.8967,11.13,89,100,5.53,FR,1707516941
256,la libertad,-2.2333,-80.9,27.81,83,40,2.06,EC,1707517442
257,dolores,-36.3132,-57.6792,24.35,77,100,7.13,AR,1707517442
258,mount gambier,-37.8333,140.7667,15.44,63,33,4.92,AU,1707516895
259,kristiansund,63.1115,7.732,-3.64,58,0,3.6,NO,1707517265
260,alaghsas,17.0187,8.0168,21.32,12,22,4.48,NE,1707516917
261,ust'-ordynskiy,52.805,104.7508,-14.26,93,100,1.22,RU,1707517442
262,chihuahua,28.5,-106.0,15.46,14,100,10.21,MX,1707517315
263,maun,-19.9833,23.4167,25.98,61,0,1.54,BW,1707517443
264,constantia,44.1833,28.65,6.38,79,70,4.54,RO,1707516854
265,keflavik,64.0049,-22.5624,-3.76,74,0,5.66,IS,1707516907
266,udachny,66.4167,112.4,-32.53,67,98,1.36,RU,1707516941
267,novoishimskiy,53.1981,66.7694,-13.66,92,46,6.6,KZ,1707517443
268,hailun,47.45,126.9333,-24.51,100,100,1.1,CN,1707517444
269,hithadhoo,-0.6,73.0833,28.34,67,85,5.89,MV,1707516922
270,mhamid,29.82,-5.72,17.97,36,100,8.0,MA,1707517444
271,hilo,19.7297,-155.09,26.27,77,100,4.63,US,1707517444
272,beau vallon,-20.4189,57.6953,26.23,78,40,5.14,MU,1707517301
273,ondangwa,-17.9167,15.95,26.0,78,38,1.03,NA,1707517444
274,angaur state,6.906,134.13,27.69,82,75,8.62,PW,1707517445
275,quelimane,-17.8786,36.8883,24.22,86,32,0.89,MZ,1707517445
276,novyy urengoy,66.0833,76.6333,-15.35,96,100,5.42,RU,1707517445
277,chibougamau,49.9168,-74.3659,1.79,87,100,5.14,CA,1707517291
278,mumford,5.2618,-0.759,25.5,89,9,1.45,GH,1707517445
279,hugo,45.16,-92.9933,-0.97,82,100,6.17,US,1707517445
280,guanica,17.9716,-66.908,25.77,60,11,5.01,PR,1707517446
281,howrah,22.5892,88.3103,15.0,72,1,3.09,IN,1707516969
282,nuuk,64.1835,-51.7216,-10.66,85,100,4.63,GL,1707516947
283,serafimovich,49.5786,42.736,-4.1,91,100,2.74,RU,1707517446
284,melfi,40.9965,15.6514,11.94,60,100,2.91,IT,1707517446
285,roma,43.2128,-75.4557,13.26,53,0,3.6,US,1707517446
286,malango,-2.9627,119.9001,20.88,98,58,1.19,ID,1707517447
287,looe,50.3578,-4.4542,8.76,88,84,4.81,GB,1707517447
288,vilyuysk,63.7553,121.6247,-31.11,100,100,0.45,RU,1707516967
289,vorkuta,67.5,64.0,-22.05,89,60,5.59,RU,1707516975
290,kingston,17.997,-76.7936,29.53,63,20,3.6,JM,1707517201
291,sibolga,1.7427,98.7792,24.22,86,63,2.2,ID,1707517267
292,rongelap,11.1635,166.8941,26.1,76,100,9.88,MH,1707517448
293,stephenville,32.2207,-98.2023,20.66,45,0,2.06,US,1707516992
294,benguela,-12.5763,13.4055,27.28,76,81,2.63,AO,1707517270
295,fale old settlement,-9.3852,-171.2468,28.52,80,100,5.97,TK,1707516902
296,dryden,49.7833,-92.7503,-7.84,86,100,4.12,CA,1707516915
297,haiku-pauwela,20.9219,-156.3051,25.7,65,40,4.12,US,1707516950
298,alice springs,-23.7,133.8833,29.01,30,47,1.34,AU,1707517250
299,barra de santo antonio,-9.4047,-35.5072,28.6,79,54,5.23,BR,1707517449
300,kununurra,-15.7667,128.7333,26.99,89,65,0.0,AU,1707517449
301,ust'-kulom,61.6864,53.6902,-20.04,99,86,1.63,RU,1707517449
302,iskateley,67.6803,53.1512,-17.77,90,84,4.92,RU,1707516899
303,nogliki,51.8333,143.1667,-23.14,99,75,2.68,RU,1707517449
304,rabaul,-4.1967,152.1721,27.98,75,100,6.31,PG,1707517449
305,berdigestyakh,62.0989,126.6992,-29.02,99,100,1.27,RU,1707517450
306,panji,-7.7253,114.0995,24.32,88,37,1.78,ID,1707517450
307,viedma,-40.8135,-62.9967,25.17,45,100,6.74,AR,1707516952
308,tadmur,34.5608,38.2805,11.25,71,0,2.21,SY,1707517450
309,boa vista,2.8197,-60.6733,29.99,62,75,9.26,BR,1707517451
310,burutu,5.3509,5.5076,27.2,83,56,2.65,NG,1707517451
311,lerwick,60.1545,-1.1494,2.0,57,100,11.18,GB,1707517316
312,puerto carreno,6.189,-67.4859,33.99,55,20,4.63,CO,1707517451
313,trairi,-3.2778,-39.2689,26.36,85,73,3.35,BR,1707517174
314,alofi,-19.0595,-169.9187,29.94,74,75,5.66,NU,1707517351
315,okhotsk,59.3833,143.3,-30.97,82,24,3.1,RU,1707516942
316,vine grove,37.8101,-85.9814,17.52,77,100,7.2,US,1707517452
317,badiyah,22.45,58.8,18.13,71,4,1.52,OM,1707517452
318,xilin hot,43.9667,116.0333,-23.13,97,15,2.88,CN,1707517452
319,labytnangi,66.6572,66.4183,-22.42,91,60,3.33,RU,1707517326
320,vanimo,-2.6741,141.3028,25.52,90,100,0.67,PG,1707517452
321,tuy hoa,13.0833,109.3,21.95,87,100,4.04,VN,1707517452
322,lauro de freitas,-12.8944,-38.3272,28.01,83,40,6.17,BR,1707517399
323,kadugli,11.0167,29.7167,25.04,18,0,3.33,SD,1707517453
324,fada,9.5667,8.3,22.56,25,6,1.79,NG,1707516974
325,mariinsk,56.2139,87.7472,1.44,98,100,7.99,RU,1707517453
326,piranshahr,36.701,45.1413,1.33,75,100,3.12,IR,1707517453
327,stawell,-37.05,142.7667,14.2,59,16,7.55,AU,1707517454
328,tromso,69.6496,18.957,-3.99,58,40,8.75,NO,1707517454
329,pizarro,4.9533,-77.366,27.98,77,53,2.52,CO,1707517454
330,nadym,65.5333,72.5167,-16.97,96,100,6.96,RU,1707516932
331,valparaiso,-33.0393,-71.6273,25.13,51,0,4.12,CL,1707517454
332,dwarka,22.2394,68.9678,22.53,46,0,6.53,IN,1707516984
333,tazovsky,67.4667,78.7,-17.17,96,100,5.09,RU,1707516906
334,cam ranh,11.9214,109.1591,24.98,73,20,5.66,VN,1707517455
335,zeribet el oued,34.6828,6.5111,20.68,15,100,7.42,DZ,1707517455
336,inirida,3.8653,-67.9239,29.37,68,95,0.71,CO,1707517455
337,swift current,50.2834,-107.8014,-6.55,93,100,7.72,CA,1707517455
338,perros-guirec,48.8145,-3.4396,9.25,96,40,6.84,FR,1707517456
339,brigantine,39.4101,-74.3646,10.02,85,0,3.09,US,1707517456
340,ascension,30.2169,-90.9001,25.12,65,100,3.6,US,1707517456
341,moss bluff,30.3027,-93.1907,23.1,74,75,6.69,US,1707517456
342,dalandzadgad,43.5708,104.425,-11.09,70,1,4.2,MN,1707517456
343,jumla,29.2747,82.1838,-0.05,46,0,2.54,NP,1707517457
344,karratha,-20.7377,116.8463,28.51,77,3,5.56,AU,1707517293
345,gandajika,-6.75,23.95,21.14,89,89,1.23,CD,1707517457
346,lienz,46.8289,12.769,5.73,99,100,5.22,AT,1707517457
347,ondjiva,-17.0667,15.7333,24.34,57,14,3.32,AO,1707517457
348,araxa,-19.5933,-46.9406,24.98,73,40,2.57,BR,1707517457
349,newman,37.3138,-121.0208,13.19,72,88,1.34,US,1707516939
350,hanceville,34.0607,-86.7675,19.94,89,100,4.39,US,1707517458
351,bandon,51.7469,-8.7425,7.77,87,16,5.84,IE,1707517331
352,minot,48.2325,-101.2963,-2.88,74,100,6.17,US,1707517458
353,carloforte,39.145,8.3058,15.6,67,100,5.47,IT,1707517320
354,happy valley-goose bay,53.3168,-60.3315,-1.83,69,75,2.06,CA,1707516942
355,kulachi,31.9286,70.4592,14.15,23,0,1.65,PK,1707517459
356,karacabey,40.2152,28.4038,11.21,78,15,1.69,TR,1707517459
357,enewetak,11.3474,162.3373,26.41,81,100,10.75,MH,1707516956
